Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1916]=19.90829861
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1917]=20.17756104
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1918]=20.36895158
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1919]=20.36863821
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1920]=20.4023951
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1921]=19.84610877
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1922]=19.4742784
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1923]=20.41782521
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1924]=19.77882376
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1925]=19.75345484
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1926]=19.57302011
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1927]=19.87550986
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1928]=19.91593076
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1929]=20.27497394
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1930]=20.95238859
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1931]=19.78298346
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1932]=20.16181555
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1933]=20.01961331
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1934]=20.70261784
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1935]=20.54319704
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1936]=21.16418654
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1937]=20.85060471
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1938]=20.283818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1939]=21.02085333
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1940]=20.56627575
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1941]=20.46203137
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1942]=21.01419377
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1943]=20.76469901
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1944]=20.91812228
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1945]=20.63041519
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1946]=20.3059335
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1947]=20.19099947
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1948]=20.65035706
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1949]=21.08117938
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1950]=22.10581056
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1951]=20.39818818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1952]=20.95793435
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1953]=21.60093971
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1954]=21.65473895
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1955]=21.61194057
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1956]=22.72448276
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1957]=23.82634945
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1958]=22.2466504
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1959]=22.13695045
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1960]=22.06866314
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1961]=23.37357314
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1962]=22.55009464
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1963]=24.60921093
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1964]=22.37762398
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1965]=22.64997293
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1966]=22.43429714
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1967]=23.58529354
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1968]=22.82579691
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1969]=22.10048951
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1970]=22.78022432
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1971]=23.19511601
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1972]=25.52743454
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1973]=23.45564811
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1974]=23.59962462
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1975]=23.12965379
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1976]=24.40571792
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1977]=24.38724427
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1978]=25.01974419
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1979]=25.21247986
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1980]=25.23254566
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting OC_emissions[1981]=24.87329597
