Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1890]=0.354124909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1891]=0.370602
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1892]=0.373660364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1893]=0.369182455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1894]=0.382052182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1895]=0.405074455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1896]=0.418282091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1897]=0.438082091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1898]=0.462072545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1899]=0.504763091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1900]=0.532420636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1901]=0.550021091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1902]=0.563913818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1903]=0.614753182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1904]=0.621749727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1905]=0.661994455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1906]=0.691291091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1907]=0.787720364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1908]=0.757201091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1909]=0.788309455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1910]=0.827405455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1911]=0.839785909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1912]=0.882419455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1913]=0.956145
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1914]=0.867248727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1915]=0.854830364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1916]=0.923257364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1917]=0.965414455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1918]=0.952592727
