; RCP 26 emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; http://tntcat.iiasa.ac.at:8787/RcpDb/dsd?Action=htmlpage&page=download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;UNITS:,GtC/yr,GtC/yr,MtCH4/yr,MtN2O-N/yr,MtS/yr,Gg/yr,MtCO/yr,Mt/yr,MtN/yr,Mt/yr,Mt/yr,MtN/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr
Date,ffi_emissions,luc_emissions,CH4_emissions,N2O_emissions,SOx,SO2_emissions,CO_emissions,NMVOC_emissions,NOX_emissions,BC_emissions,OC_emissions,NH3,CF4_emissions,C2F6_emissions,C6F14,HFC23_emissions,HFC32_emissions,HFC4310_emissions,HFC125_emissions,HFC134a_emissions,HFC143a_emissions,HFC227ea_emissions,HFC245fa_emissions,SF6_emissions,CFC11_emissions,CFC12_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CCl4_emissions,CH3CCl3_emissions,HCFC22_emissions,HCFC141b_emissions,HCFC142b_emissions,halon1211_emissions,HALON1202,halon1301_emissions,halon2402_emissions,CH3Br_emissions,CH3Cl_emissions
1810,0.010194545,0.168311362,29.42453242,0.168302763,1.414194561,1414.194561,374.7180119,62.97351665,3.9615916,2.279523716,16.52538808,6.676418125,0.010071225,0,0,0,0.000212,0,0,0,0,0.000003,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.93988,4267.9729
1811,0.010795091,0.171407806,29.40578756,0.171482384,1.403686743,1403.686743,369.2694863,61.829606,3.9187457,2.252530236,16.18886557,6.610428046,0.010071225,0,0,0,0.000217,0,0,0,0,0.00000304,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.96903,4269.505
1812,0.011183727,0.174561216,29.4202985,0.174722074,1.394884132,1394.884132,364.5806875,60.85746997,3.875988658,2.228006935,15.92905063,6.559551465,0.010071225,0,0,0,0.000221,0,0,0,0,0.00000307,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.99029,4270.6225
1813,0.011241818,0.17777264,29.77847603,0.178022969,1.400325553,1400.325553,365.9138874,61.1361302,3.844088557,2.231996859,16.06491504,6.615408431,0.010071225,0,0,0,0.000225,0,0,0,0,0.00000311,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.97005,4269.5589
1814,0.011489727,0.181043144,30.54785186,0.181386226,1.44911988,1449.11988,377.9855417,63.49192823,3.946873452,2.291579691,16.71992349,6.798536534,0.010071225,0,0,0,0.000229,0,0,0,0,0.00000314,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.93884,4267.9182
1815,0.011860364,0.184373817,30.64433954,0.184813022,1.442834604,1442.834604,375.5806648,62.8715757,3.977998266,2.287324694,16.48749688,6.735560224,0.010071225,0,0,0,0.000233,0,0,0,0,0.00000318,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.94955,4268.4808
1816,0.012999545,0.187765764,30.79985622,0.188304559,1.449517631,1449.517631,371.6298228,62.14643252,3.866008445,2.261022,16.39503385,6.743262628,0.010071225,0,0,0,0.000237,0,0,0,0,0.00000322,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.93504,4267.7184
1817,0.013481182,0.191220113,31.19839541,0.191862058,1.472005827,1472.005827,376.4429441,62.94153101,3.981202576,2.296180569,16.51722865,6.770091493,0.010071225,0,0,0,0.000241,0,0,0,0,0.00000325,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.95336,4268.6815
1818,0.013539273,0.194738012,31.68760832,0.195486767,1.503330753,1503.330753,383.9142096,64.26768049,4.109295846,2.335490105,16.84964888,6.840908207,0.010071225,0,0,0,0.000245,0,0,0,0,0.00000329,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.94012,4267.9855
1819,0.013622182,0.198320631,31.84544135,0.199179954,1.480397209,1480.397209,378.3325838,63.25758927,3.96351919,2.304129482,16.66519821,6.837664942,0.010071225,0,0,0,0.000249,0,0,0,0,0.00000332,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.92235,4267.0511
1820,0.013824,0.201969159,32.33339467,0.202942914,1.500127423,1500.127423,382.4197483,64.0766433,3.958562233,2.321048766,16.96356441,6.930887744,0.010071225,0,0,0,0.000253,0,0,0,0,0.00000336,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.88909,4265.3029
1821,0.014027727,0.20568481,32.52138863,0.206776965,1.50600016,1506.00016,382.8975341,63.98744909,4.029731628,2.333483777,16.86010032,6.914599317,0.010071225,0,0,0,0.000257,0,0,0,0,0.0000034,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.93899,4267.9261
1822,0.014581364,0.209468818,32.73451052,0.21068345,1.499477254,1499.477254,378.6708004,63.22724653,3.871133523,2.302515118,16.79629808,6.957054645,0.010071225,0,0,0,0.000261,0,0,0,0,0.00000343,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.92104,4266.9822
1823,0.015422727,0.213322441,32.75571509,0.214663737,1.499604752,1499.604752,374.3931813,62.26076437,3.846052063,2.282471765,16.53271228,6.913744405,0.010071225,0,0,0,0.000265,0,0,0,0,0.00000347,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.94096,4268.0293
1824,0.015961364,0.21724696,33.0519787,0.218719221,1.512912552,1512.912552,377.0407114,62.5634338,3.956577313,2.310947811,16.47072526,6.914216188,0.010071225,0,0,0,0.000269,0,0,0,0,0.0000035,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.93425,4267.6765
1825,0.016569818,0.221243678,33.52533882,0.222851322,1.538203336,1538.203336,380.3167498,63.18578955,3.919068065,2.322703112,16.80867752,7.013371226,0.010071225,0,0,0,0.000273,0,0,0,0,0.00000354,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.91652,4266.7449
1826,0.016750909,0.225313924,33.7481029,0.227061488,1.531982813,1531.982813,378.8222655,62.81594151,3.911604483,2.320968834,16.62077908,7.019452106,0.010071225,0,0,0,0.000277,0,0,0,0,0.00000357,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.90841,4266.3186
1827,0.017976818,0.229459052,34.15505001,0.231351194,1.566092214,1566.092214,382.4773392,63.38999011,3.962793591,2.346337782,16.79991923,7.070700267,0.010071225,0,0,0,0.000281,0,0,0,0,0.00000361,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.91515,4266.6729
1828,0.018173727,0.233680437,34.99912851,0.235721941,1.618020723,1618.020723,395.9754325,65.90535949,4.116354977,2.420774153,17.4805645,7.24829078,0.010071225,0,0,0,0.000285,0,0,0,0,0.00000364,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.87222,4264.4159
1829,0.018107727,0.237979484,35.01640513,0.240175262,1.597238302,1597.238302,389.1746282,64.57289824,4.000350816,2.379376332,17.19408165,7.220071266,0.010071225,0,0,0,0.000289,0,0,0,0,0.00000368,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.90025,4265.8895
1830,0.024306273,0.242357621,35.40215534,0.244712716,1.705903254,1705.903254,392.1065329,64.94076179,4.03843029,2.403159831,17.31425157,7.262546485,0.010071225,0,0,0,0.000293,0,0,0,0,0.00000372,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.8667,4264.1256
