year,,,,,,,,,,,,,,,,
,USA,CAN,WEU  ,JPK,ANZ,CEE,FSU,MDE,CAM,SAM,SAS,SEA,CHI,NAF,SSA,SIS
2096,33344.88164,3518.721245,41786.22595,13894.70685,3517.347503,2614.423023,4232.616497,10283.95032,5144.413152,10895.81478,26301.66933,16405.67059,18833.39171,4390.332509,29314.18005,1016.604174
2097,33545.26007,3557.933096,42216.64122,13944.19344,3555.242824,2634.419287,4267.672189,10429.04357,5230.672317,11016.91092,26729.68997,16603.85671,18831.16115,4453.938979,30226.4834,1030.866246
2098,33746.84263,3597.581914,42651.48994,13993.85627,3593.546423,2654.568492,4303.018222,10576.1839,5318.377837,11139.35292,27164.67602,16804.43699,18828.93086,4518.46697,31167.17906,1045.328402
2099,33949.63655,3637.672571,43090.81779,14043.69599,3632.262699,2674.871806,4338.657,10725.40018,5407.553962,11263.15574,27606.74081,17007.44035,18826.70083,4583.929833,32137.15065,1059.993449
2100,34153.64911,3678.209988,43534.67089,14093.71321,3671.396098,2695.33041,4374.590949,10876.72172,5498.225352,11388.3345,28055.99956,17212.89606,18824.47107,4650.341112,33137.30928,1074.864235
2101,34353.57826,3718.343477,43975.54013,14146.1223,3710.201015,2715.862649,4410.58984,11029.03632,5588.936058,11513.65522,28508.90712,17421.80492,18827.47059,4716.514743,34151.07171,1090.008439
2102,34554.67775,3758.914868,44420.87399,14198.72628,3749.416083,2736.551297,4446.88497,11183.48388,5681.143325,11640.35501,28969.12597,17633.24925,18830.47059,4783.630014,35195.84795,1105.366016
2103,34756.95444,3799.928939,44870.71768,14251.52587,3789.045634,2757.397545,4483.478775,11340.09429,5774.871844,11768.44904,29436.77412,17847.25983,18833.47106,4851.700325,36272.58681,1120.939972
2104,34960.41522,3841.390521,45325.11688,14304.52181,3829.094052,2778.402593,4520.373714,11498.89782,5870.146713,11897.95266,29911.97151,18063.86781,18836.47202,4920.739265,37382.2661,1136.733356
2105,35165.06703,3883.304496,45784.11771,14357.71481,3869.565762,2799.567652,4557.572265,11659.92519,5966.993444,12028.88138,30394.84,18283.1047,18839.47345,4990.76062,38525.89356,1152.74926
2106,35365.4475,3924.770691,46239.6478,14413.33105,3909.668124,2820.800641,4594.820855,11821.70423,6063.792184,12159.88564,30881.31741,18505.62329,18847.67616,5060.476891,39682.84948,1169.038625
2107,35566.9698,3966.679666,46699.71019,14469.16273,3950.186087,2842.194669,4632.373874,11985.72793,6162.161229,12292.31665,31375.58101,18730.85009,18855.88245,5131.167035,40874.54948,1185.558173
2108,35769.64042,4009.036147,47164.34999,14525.21068,3991.12396,2863.750958,4670.23381,12152.02741,6262.126052,12426.18994,31877.75543,18958.81807,18864.0923,5202.844653,42102.03696,1202.311156
2109,35973.46593,4051.844914,47633.61273,14581.47573,4032.486093,2885.470738,4708.403172,12320.63427,6363.712541,12561.52121,32387.96729,19189.56058,18872.30573,5275.523541,43366.38662,1219.300874
2110,36178.45288,4095.110796,48107.54441,14637.95874,4074.276885,2907.355248,4746.884488,12491.58051,6466.947002,12698.32635,32906.34522,19423.11139,18880.52274,5349.217685,44668.70548,1236.530672
2111,36181.6371,4088.679757,48006.73347,14524.9886,4067.822629,2893.39761,4729.687081,12482.13991,6453.252401,12644.21998,32771.24588,19333.07595,18714.05193,5334.214286,44706.4286,1230.20879
2112,36184.8216,4082.258818,47906.13378,14412.89033,4061.378598,2879.50698,4712.551979,12472.70645,6439.586799,12590.34414,32636.70119,19243.45787,18549.0489,5319.252967,44744.18358,1223.919229
2113,36188.00638,4075.847963,47805.7449,14301.65719,4054.944776,2865.683035,4695.478955,12463.28012,6425.950136,12536.69786,32502.70889,19154.25522,18385.50072,5304.333612,44781.97044,1217.661824
2114,36191.19143,4069.447175,47705.56638,14191.2825,4048.521146,2851.925457,4678.467785,12453.86091,6412.34235,12483.28017,32369.2667,19065.46606,18223.39455,5289.456102,44819.78922,1211.43641
