model,scenario,region,variable,unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,R10REF_ECON,Final Energy,EJ/yr,23.65846602,24.82187948,26.01172312,NA,29.45044989,NA,29.65373025,NA,30.64636293,NA,28.1994444,NA,27.84879271,NA,29.20084805,NA,29.44889302,NA,29.2605011,NA,29.48444659
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,R10REST_ASIA,Final Energy,EJ/yr,18.01722527,21.30193832,25.22995784,NA,31.46865383,NA,38.15675802,NA,44.62520885,NA,49.39274421,NA,50.33986427,NA,52.2385242,NA,55.30476232,NA,58.46765108,NA,60.40472077
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,R10AFRICA,Final Energy,EJ/yr,10.14464613,11.23800334,16.77224395,NA,21.08637964,NA,26.90598889,NA,33.12303536,NA,42.85917997,NA,54.25603408,NA,69.35752477,NA,89.97353164,NA,114.3286671,NA,144.4807393
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,R10CHINA+,Final Energy,EJ/yr,34.26728786,47.91249366,66.65795779,NA,87.43161057,NA,98.88396532,NA,96.01307618,NA,93.69254507,NA,93.70210003,NA,93.3674799,NA,91.11892869,NA,88.18016788,NA,85.11845082
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,R10EUROPE,Final Energy,EJ/yr,55.25202039,59.41518102,58.48178485,NA,64.00850257,NA,61.27173047,NA,59.1755926,NA,58.54971624,NA,60.32059413,NA,62.82903094,NA,65.99779826,NA,69.48211503,NA,73.1905737
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,R10INDIA+,Final Energy,EJ/yr,18.13708586,21.30011916,25.93375449,NA,35.20873814,NA,47.33745065,NA,61.38681997,NA,69.83632096,NA,82.37699918,NA,97.64959551,NA,114.9905057,NA,133.2969089,NA,151.0504329
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,R10LATIN_AM,Final Energy,EJ/yr,18.59390051,20.60340017,24.28011873,NA,30.47574491,NA,35.73782028,NA,40.07546671,NA,42.43580665,NA,45.25732976,NA,50.34146217,NA,53.73501096,NA,58.83541297,NA,64.2928379
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,R10MIDDLE_EAST,Final Energy,EJ/yr,13.73600754,17.66923491,22.86609216,NA,30.61237989,NA,39.27228252,NA,47.07281739,NA,53.35315336,NA,59.28146989,NA,66.69221278,NA,74.64711323,NA,80.2327112,NA,87.06762099
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,R10NORTH_AM,Final Energy,EJ/yr,72.2755001,74.31337595,71.14406966,NA,76.19344945,NA,81.22667888,NA,75.0597854,NA,72.76835314,NA,74.01032072,NA,74.85643548,NA,77.54800587,NA,79.48778453,NA,81.67907086
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,R10PAC_OECD,Final Energy,EJ/yr,17.90237941,18.17999554,17.72024398,NA,19.12384057,NA,19.47970864,NA,17.45847092,NA,16.53628989,NA,16.56090497,NA,16.67158232,NA,16.60595227,NA,16.40239296,NA,16.22517683
