V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
-0.1337827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.13173752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.12968955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.1276388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.12558525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.12352887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.12146968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.11940765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.11734278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.11527505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.11320445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.11113097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10905461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10697533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10489314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10280803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
